entry_name,system,verdict,in_v2_matrix,missing_column,access,reason
HPC-ODA Dataset Collection,LRZ CooLMUC / SuperMUC-class,NO-FAILURE-INFO,no,,public,"'does NOT contain real production failures, job exit codes, or root-cause records. Only ONE of the five segments — Fault Detection — carries any failure/fault labels, and those are SYNTHETIC, deliberately INJECTED (via FINJ)'."
Long Term Per-Component Power and Thermal Measurements of the OLCF Summit System,OLCF Summit,NO-FAILURE-INFO,no,,public,"'purely operational power/energy/thermal TELEMETRY plus job-allocation overlay — does NOT label failures or faults, does NOT expose job exit codes... NO root-cause information' (sibling Summit GPU DBE-snapshot dataset OSTI 1970187 is separate)."
M100 dataset: time-aggregated data for anomaly detection,Marconi100 (CINECA),RATES-ONLY,yes (as Marconi100),,public,"Single Nagios-derived label marking each 15-min node window normal vs anomalous — 'effectively a binary/categorical node-health state, NOT a rich fault taxonomy... does NOT give a root-cause category'; down-sampled derivative of M100 ExaData."
M100 ExaData (Marconi100 ExaData),Marconi100 (CINECA),RATES-ONLY,yes (as Marconi100),,public,"'fundamentally a TELEMETRY/monitoring dataset, NOT a failure-labeled fault dataset with root cause... what survives is essentially a node available/unavailable (offline) state signal, not a typed fault with cause'."
"Perlmutter LDMS/DCGM System Telemetry (NERSC, Performance Monitoring API)",NERSC Perlmutter,NO-FAILURE-INFO,no,,on-request,"'NONE. This is pure performance/utilization telemetry. It does NOT label failures or faults, does NOT expose job exit codes... no crash labels, no error codes, no anomaly/incident annotations.'"
Perlmutter System-wide GPU Telemetry Dataset (Characterizing Production GPU Workloads),NERSC Perlmutter,NO-FAILURE-INFO,no,,on-request,"'NO FAILURE/FAULT LABELS... does NOT expose job exit codes, error/fault labels, failure root cause, or even job success/failure state'; same underlying NERSC LDMS/DCGM stream as the SC25-poster Perlmutter entry."
PM100: A Job Power Consumption Dataset of a Large-scale Production HPC System,Marconi100 (CINECA),COLUMN-LABEL,yes (as Marconi100),,public,"231,116 jobs with job_state enum (COMPLETED/FAILED/CANCELLED/TIMEOUT/NODE_FAIL/OUT_OF_MEMORY), derived_ec exit code, and state_reason — but 'state_reason is a scheduler-level reason code, not a deep hardware/software root-cause diagnosis'."
Proctor / Voltrino Performance Anomaly Dataset (peaclab),Sandia Voltrino (+ NERSC Cori),NO-FAILURE-INFO,no,,on-request,"'this is NOT a real-failure/fault dataset. Labels are the class of SYNTHETIC PERFORMANCE ANOMALY deliberately injected by HPAS... does NOT contain real job failures, does NOT expose exit codes.'"
Prodigy Eclipse Dataset (Dataset Artifact for Prodigy),Sandia Eclipse,DUPLICATE-OF Sandia Eclipse (Dataset Artifact for Prodigy entry),no,,public,Same Zenodo DOI 10.5281/zenodo.8079388 and identical 160-sample (80 healthy / 80 memleak-injected) eclipse_small_prod_dataset as the earlier 'Dataset Artifact for Prodigy' entry — the catalog lists the same artifact twice.
Sandia Eclipse LDMS Operational Telemetry (BU PeacLab / SNL anomaly-diagnosis dataset),Sandia Eclipse (+Volta),NO-FAILURE-INFO,no,,on-request,"'this is NOT a real-failure dataset. It contains NO real fault labels, NO job exit codes, NO crash/termination records' — synthetic HPAS labels only; umbrella entry for the same telemetry behind the E2EWatch/ALBADross/Proctor/Prodigy entries (count once)."
Taxonomist Application Detection Artifact (BU/Sandia Volta LDMS dataset),Sandia Volta (Cray XC30m),NO-FAILURE-INFO,no,,public,"'the dataset does NOT label failures, faults, crashes, exit codes, or root cause. Its labels are application name/identity and input/configuration parameters' — 'anomaly' here means unknown-application detection."
Taxonomist dataset (Artifact for Taxonomist: Application Detection through Rich Monitoring Data),Sandia Volta/Voltrino (Cray XC30m),NO-FAILURE-INFO,no,,public,"failure_info: 'This dataset does NOT label failures, faults, or root cause, and does not expose job exit codes' — application-classification telemetry only."
The MIT Supercloud Dataset,MIT Supercloud (TX-Green/LLSC),COLUMN-LABEL,yes (as MIT-Supercloud),,public,"slurm-log.csv carries ExitCode + State (COMPLETED, FAILED, CANCELLED, TIMEOUT, NODE_FAIL, OUT_OF_MEMORY) but 'NO root-cause labeling, NO diagnostic categorization of why a job failed'."
Trinity Open Science Environmental Sensor Data (SEDC),LANL Trinity,NO-FAILURE-INFO,no,,public,"failure_info: 'NO failure/fault labels. This is pure physical environmental telemetry ... does NOT expose job/process exit codes, and provides NO root-cause or diagnosis information.'"
USRC Memory Usage Statistics from Open Clusters (LA-UR-19-28211),LANL Grizzly/Badger/Snow,NO-FAILURE-INFO,no,,public,failure_info: 'No failure or fault information of any kind. This is PURE memory telemetry ... does NOT expose job exit codes or return status'.
Alibaba cluster-trace-v2017,Alibaba colocation cluster (v2017),COLUMN-LABEL,no,YES — should be a column,public,"batch_instance/task status enum (Failed | Terminated | Cancelled | Interrupted) plus machine softerror/harderror events, but 'NO exit codes and NO systematic root-cause'."
Alibaba cluster-trace-v2018,Alibaba colocation cluster (v2018),COLUMN-LABEL,no,YES — should be a column,public,"failure_info: 'PARTIAL — status/state labels only, no exit codes and no root cause' — Failed vs Terminated per instance try; machine_meta status undocumented."
Alibaba PAI GPU cluster trace (cluster-trace-gpu-v2020),Alibaba PAI,COLUMN-LABEL,yes (as Alibaba-PAI),,public,"failure_info: 'DOES provide a binary success/failure label' (Failed vs Terminated) but 'cannot attribute WHY jobs fail' — no exit codes, no cause taxonomy."
Atlas Cluster Trace Repository (CMU PDL ATLAS) — LANL Mustang + Trinity HPC scheduler traces,"CMU PDL ATLAS umbrella (Mustang, Trinity, Two Sigma)",REPOSITORY,no (child TwoSigma is a matrix column),,public,Umbrella repo hosting the Mustang and Trinity traces (separate catalog entries) plus Two Sigma Datacenter A/B; per-trace failure semantics live in the child entries.
Failure Trace Archive (FTA),"FTA umbrella (26 systems, 1994-2009)",REPOSITORY,no (lanl05 duplicates LANL-22sys column),,gone,"Umbrella of 26 availability traces; 'only ~2 of 26 traces (lanl05, pnnl07) carry true failure root cause' — lanl05 overlaps the LANL-22sys column; both host sites currently connection-refused."
FTA — Condor pools (UW-Madison) & Notre Dame desktop-grid availability traces,UW-Madison Condor pools + Notre Dame desktops (FTA subset),RATES-ONLY,no,,gone,"failure_info: 'do NOT contain job exit codes, job-failure labels, or diagnosed root cause' — only host/CPU availability-unavailability intervals (nd07cpu even threshold-inferred), i.e. availability event rates only."
